Name	Capacity	Location_City	Location_State	Surface	Team	Opened	Distance_to_center_field_english	Distance_to_center_field_metric	Type	Roof_Type
American Family Fielddouble-dagger	41900	Milwaukee	Wisconsin	Grass	Milwaukee Brewers	2001	400	122	Retro-modern	Retractable
Angel Stadium	45517	Anaheim	California	Grass	Los Angeles Angels	1966	396	121	Retro-modern	Open
Busch Stadium	45494	St. Louis	Missouri	Grass	St. Louis Cardinals	2006	400	122	Retro-classic	Open
Chase Fielddouble-dagger	48405	Phoenix	Arizona	Artificial turf	Arizona Diamondbacks	1998	407	124	Retro-modern	Retractable
Citi Field	41922	Queens	New York	Grass	New York Mets	2009	408	124	Retro-classic	Open
Citizens Bank Park	42792	Philadelphia	Pennsylvania	Grass	Philadelphia Phillies	2004	401	122	Retro-classic	Open
Comerica Park	41083	Detroit	Michigan	Grass	Detroit Tigers	2000	420	128	Retro-classic	Open
Coors Field	50144	Denver	Colorado	Grass	Colorado Rockies	1995	415	126	Retro-classic	Open
Dodger Stadium	56000	Los Angeles	California	Grass	Los Angeles Dodgers	1962	395	120	Modern	Open
Fenway Park	37755	Boston	Massachusetts	Grass	Boston Red Sox	1912	390	119	Jewel box	Open
Globe Life Fielddouble-dagger	40300	Arlington	Texas	Artificial turf	Texas Rangers	2020	407	124	Retro-modern	Retractable
Great American Ball Park	42319	Cincinnati	Ohio	Grass	Cincinnati Reds	2003	404	123	Retro-modern	Open
Guaranteed Rate Field	40615	Chicago	Illinois	Grass	Chicago White Sox	1991	400	122	Retro-classic	Open
Kauffman Stadium	37903	Kansas City	Missouri	Grass	Kansas City Royals	1973	410	125	Retro-modern	Open
LoanDepot Parkdouble-dagger	36742	Miami	Florida	Artificial turf	Miami Marlins	2012	407	124	Contemporary[13]	Retractable
Minute Maid Parkdouble-dagger	41168	Houston	Texas	Grass	Houston Astros	2000	409	125	Retro-modern	Retractable
Nationals Park	41339	Washington	D.C.	Grass	Washington Nationals	2008	402	123	Retro-modern	Open
Oakland Coliseum	46847	Oakland	California	Grass	Oakland Athletics	1966	400	122	Multipurpose	Open
Oracle Park	41265	San Francisco	California	Grass	San Francisco Giants	2000	391	119	Retro-classic	Open
Oriole Park at Camden Yards	45971	Baltimore	Maryland	Grass	Baltimore Orioles	1992	410	125	Retro-classic	Open
Petco Park	40209	San Diego	California	Grass	San Diego Padres	2004	396	121	Retro-modern	Open
PNC Park	38747	Pittsburgh	Pennsylvania	Grass	Pittsburgh Pirates	2001	399	122	Retro-classic	Open
Progressive Field	34830	Cleveland	Ohio	Grass	Cleveland Guardians	1994	410	125	Retro-modern	Open
Rogers Centredouble-dagger	49286	Toronto	Ontario	Artificial turf	Toronto Blue Jays	1989	400	122	Multipurpose	Retractable
T-Mobile Parkdouble-dagger	47929	Seattle	Washington	Grass	Seattle Mariners	1999	401	122	Retro-modern	Retractable
Target Field	38544	Minneapolis	Minnesota	Grass	Minnesota Twins	2010	404	123	Retro-modern	Open
Tropicana Fielddagger	25000	St. Petersburg	Florida	Artificial turf	Tampa Bay Rays	1990	404	123	Indoor	Fixed
Truist Park	41084	Cumberland	Georgia	Grass	Atlanta Braves	2017	400	122	Retro-modern	Open
Wrigley Field	41649	Chicago	Illinois	Grass	Chicago Cubs	1914	400	122	Jewel box	Open
Yankee Stadium	46537	Bronx	New York	Grass	New York Yankees	2009	408	124	Retro-classic	Open
